id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.13214676734906014,0.12333490857811955,0.2665706452446613,0.12652047360863994,0.12387956697670083,0.1294697385262152
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.12574199360449848,0.11879888187034471,0.2830541267467354,0.11255710671365497,0.11448903746744765,0.10875416666074793
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.10520710756627175,0.0994882061439009,0.24751606143337754,0.1323686162545369,0.12948648433155172,0.13448034322455202
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.12139294858377342,0.11629981022767523,0.22984467128545774,0.12703610286195055,0.12256419866052891,0.13553426001360425
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.1680310980143599,0.1553879549029917,0.32810887914818526,0.1548998577349133,0.15554124347701426,0.15369820834105952
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.11381567841976822,0.10894826576998803,0.2037548850475856,0.1284303697538541,0.12525102993891365,0.13352600975598664
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.1591710125475267,0.14323768248918417,0.32220967474146767,0.09354037964529595,0.09238535852712951,0.09548960703177416
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.11495563609087091,0.11001317911943588,0.2895621644087903,0.14474761168963438,0.14090978894836792,0.1510538953515789
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.13030289833692654,0.12219730933193232,0.28021124028499195,0.12492481984839,0.12439925066718188,0.12539511700097994
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.10227016161648984,0.09643675498239823,0.27815830758191395,0.08984330883572726,0.09014457427418364,0.08912351875487698
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.1706085311531665,0.1593163166284461,0.3033446821194873,0.15097334242638408,0.15190591213840787,0.14674337851209227
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.1262815734028207,0.119986357374255,0.25313388669048015,0.13752627456864838,0.14430457138317593,0.12979259967195783
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.11947972446154298,0.1127680166684827,0.2200741730470197,0.10623736845549195,0.10259189014848398,0.11249616501940796
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.11840344470446627,0.11436350524232083,0.18514420694034506,0.17087114750076757,0.17279090549332043,0.162971942903917
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.10420030774481862,0.09988118999713608,0.1765316864479931,0.11041349254397989,0.11139668426559547,0.10639944855554406
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.11490874586032017,0.1098301411261567,0.22988266293335702,0.12628894986678757,0.13582908071084815,0.10935937443818489
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.10604036309902926,0.09907511045483662,0.17861070746989993,0.09890824497142967,0.09736672341024932,0.1024000990667716
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.09419140458742684,0.09116753054765396,0.2280101665646338,0.09109892468296173,0.09176200076687535,0.08957584294976838
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.1790946617166056,0.1713933446206979,0.33236951315612034,0.12412138420682564,0.12691012168810595,0.11607321926293027
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.15079469071719814,0.14262434452500808,0.3267633497004853,0.19390489000657585,0.2194585195929098,0.1564116875402037
