id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.005725643169442242,0.005096764636318435,0.010601515426807302,0.006045447541678232,0.006086573887336716,0.005926364398922629
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.004305201317986605,0.00390098132478,0.010948935850424528,0.0027129491706130455,0.0028242498305065065,0.002557520572575743
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.0065096980067335655,0.005559145208247231,0.01732834991695796,0.004047825542821433,0.003672524596091547,0.005042979679844355
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.005527010010502182,0.004693937178469243,0.016516790229421516,0.0035103384003271247,0.003516468158954058,0.003389727355636986
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.0036524112503846058,0.00325120221265928,0.012555802721305997,0.002969516033944538,0.002967003249849484,0.0029236870190368267
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.004460825795341118,0.0040520900930762676,0.01306931927458743,0.0033165405999879276,0.0032465824990801323,0.0034115445131921883
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.004762120424686358,0.004262830136769159,0.012503901059630899,0.003197843787409798,0.0033209450819777398,0.002991250727737561
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.006385454138803547,0.005359707743108677,0.017889317639429952,0.0038995966981487727,0.004114330149315129,0.0035841656175798976
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.005794339549710562,0.00504247195265499,0.015107028509411645,0.004477834881154161,0.004409135194978597,0.004477694524633477
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.00547893947261257,0.004866828951895398,0.015330519228811004,0.003955487896519216,0.004029190107341965,0.00377686374998714
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.004944810401842526,0.004401478031627414,0.017648973731295897,0.005537384578407254,0.004995934448020524,0.007577307446163068
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.004167928731941934,0.0037523104945820823,0.011799769184769781,0.003992149172740233,0.0038453949156775436,0.004207149476114161
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.007066191794314515,0.006140645665844178,0.016113340136460774,0.004600033871502643,0.004761000306885894,0.00435426979444369
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.003783886489264041,0.0033444216782741016,0.0108369841514235,0.003925831742996578,0.0036852936674223757,0.004475376461568535
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.007299204990731071,0.006247332430218232,0.019278877425745824,0.00326077551160363,0.0031949028080053236,0.003364038269725988
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.005442870822236523,0.005000404975189709,0.020689654311286623,0.004974784320803555,0.004591489261833551,0.0059325430394999564
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.0058230293752617734,0.005339821741167289,0.015096525156482599,0.005134609108821985,0.0048838785473152915,0.00569038711461684
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.005764429006499018,0.005084881672258858,0.021668892320366055,0.0031849641895520873,0.0031929466644147883,0.003150974935513886
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.008648645346887328,0.007506107018819601,0.01958643207771211,0.005005093332496704,0.004768312213436843,0.005527208341824909
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.005257578808004925,0.004693958232712566,0.013379671303907338,0.004296053609260168,0.004776447375717558,0.0037564308638464742
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.005547737315009473,0.004953343431445577,0.014221030662530115,0.0035527318701239095,0.003470723259469967,0.00360045661786967
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.003805012207722607,0.0035422657989203866,0.007667699526301882,0.005554511981779417,0.0055604846280358335,0.005382895413288028
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.0042785186740206035,0.003926304116932059,0.009690784094515603,0.0035693752830924567,0.003588321770354602,0.0034659231874331732
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.005459555670029345,0.005003189626047993,0.014334275366595308,0.0050931078592879545,0.005263355800590499,0.0046777991284465475
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.0047280138416833,0.0042093880717830505,0.00899971868259925,0.0036043672140973182,0.0035526167051584444,0.003704705845570523
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.0035875382842920933,0.0032946282612589563,0.013097539465132655,0.002961938402846134,0.0030199612904602507,0.002839004911533756
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.00928005546110856,0.008972488706787268,0.015616417738472665,0.003738588307365839,0.0036212678497148836,0.0038910548057511343
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.0067449141847250975,0.005991809258777036,0.021317628386707168,0.0054213996319660614,0.006030802843610418,0.004396220631944966
