id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.28356131438223714,0.33601195299048364,0.12439257982151913,-0.06428285256410254,-0.03099959935897436,0.08249198717948716
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.19137563528688467,0.1783652226288322,0.13908822817449953,0.1633175512001762,0.22218857813991044,0.2005799016369375
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.258682840786015,0.2856352766773151,0.1346199527588957,0.030726821003099026,0.07069802558227326,0.05413187951574531
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.34549637526102867,0.4103525427228072,0.13796923861579063,-0.16102489882340326,-0.09021468199726619,0.07983347180902861
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.25255063379950027,0.30876829377099396,0.12246296591762193,0.12544439241801503,0.18041031510674088,-0.009312730867280579
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.32460460281025993,0.33349983862170807,0.16911531103840677,-0.5066235054963052,-0.2770792990163492,-0.16779868396967154
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.16874912863299568,0.19282940982625274,0.07210495658622638,0.25835577786328073,0.2815869351459963,-0.015245179769997008
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.24199581699484082,0.287781262763299,0.10212654813372946,0.15648138307294435,0.19298898218018212,0.01771353668473447
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.26259432485874945,0.3355073490084897,0.052339030219102314,-0.01604605144810217,-0.026821370750134917,-0.14454038496132396
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.24301685350096636,0.27657877833638733,0.12132093383594493,-0.10336312803559036,-0.07782335414881024,0.06484429206971143
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.2204355092667307,0.2533058676841747,0.1199690987611398,0.03759775711966948,0.0590821897594806,0.013791746593871421
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.22695915110673,0.3110417484727642,0.05297360601223849,-0.09759387732628563,-0.1513232757038505,0.008846309143633211
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.3316991001688696,0.3782395272216573,0.1671804038348345,-0.1634769547533458,-0.06966735861475368,-0.05248679391760755
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.2622490925473579,0.32229571256517475,0.10785335806115479,-0.007876446514253446,-0.01809906858594411,-0.04675592718035565
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.22108819542427444,0.24667147947288728,0.11922932957584538,0.052911962330944654,0.009975769448883847,0.07804471481844272
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.18342962562814588,0.23539879242451495,0.06468483391777564,-0.04688208471284723,-0.1031919171179495,-0.09300276330535807
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.22445770411106516,0.2541668824497997,0.12427106713862757,0.01012171921464325,0.10600099739568904,0.01966162427734989
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.16114578910810298,0.19876360599802878,0.04721542531831216,0.18601992914856116,0.10521264157199448,0.32553269462331813
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.25398286452380936,0.29574046668148785,0.16024161197714726,-0.5297045600513808,-0.547670959672785,-0.05683162627184531
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.1653845084680405,0.18749435781408672,0.09670592284993926,0.2589795274060762,0.2302094211169666,0.13545587747205157
