id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.006921697492476476,-0.011171281092835349,0.01907831038383858,-0.7333333333333333,0.16666666666666674,0.19999999999999996
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.013060133845496704,0.01333827057043654,-0.022855189296928154,-0.2916666666666667,0.33333333333333326,1.1666666666666665
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.011683095295358154,-0.019721010202032395,-0.02641574365843304,0.13333333333333336,-0.033333333333333305,0.29999999999999993
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,-0.019585766963942937,-0.02411753247049951,0.007477947528585347,-1.375,0.41666666666666685,0.16666666666666663
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.004601540757826263,0.030283554731643313,-0.04383463651588858,0.33333333333333326,-0.08333333333333334,0.4166666666666667
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.0020655359971932462,0.0025833986280914658,-0.0011421273575505104,1.1666666666666667,0.4000000000000001,-1.1333333333333333
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,-0.012821231171241936,-0.02259737172142679,0.0005576439952675602,1.5833333333333335,1.0833333333333335,-0.5416666666666666
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.007466506970706518,0.008419884476136053,-0.007329970728393873,1.0416666666666667,0.2916666666666666,-0.041666666666666685
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.0002684925489134637,-0.03199245113493866,0.028220964515879715,0.16666666666666663,0.2333333333333334,-0.6666666666666667
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.015992676036259874,0.005852404530727467,0.0033363237574036073,-0.37500000000000006,-0.5416666666666667,-1.375
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,-0.009539774052296418,-0.009346860018428358,-0.008337138275011943,-1.625,-0.25,0.33333333333333326
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,-0.021968077814445455,-0.04157084305378796,-0.050845478966986185,-0.08333333333333331,0.16666666666666666,0.2916666666666666
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.005261741552721219,0.005480573537358161,-0.008501414834463886,1.7666666666666668,0.4999999999999999,0.0
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-0.014224136668153786,-0.018774868148319895,-0.014582869993455002,0.16666666666666657,-0.4666666666666666,1.1333333333333333
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.019646475464729897,0.026303226677433643,0.011373398109518913,-0.5,0.8333333333333333,1.1
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,-0.006894646361008813,-0.0009271591429550211,-0.015834653038445633,-0.23333333333333334,-0.4666666666666667,-0.06666666666666665
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.0038257748772725633,-0.01544479914066137,-0.006044474401913084,-0.08333333333333327,1.4999999999999998,-2.166666666666667
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,-0.004914012710083345,0.020693534283831392,-0.014022466265580704,0.45833333333333337,0.6666666666666666,0.20833333333333337
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.02373189632600304,0.009980467582273634,0.04570449229978426,1.2,-0.5666666666666667,-0.13333333333333336
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,-0.007352805735649337,-0.012293948319711348,0.0016830757932817797,-0.12499999999999997,0.5833333333333333,0.125
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.0010519096394064112,-0.004996414651057309,0.020597147323992242,0.5,-0.5,0.7333333333333334
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,-0.023410905902039814,-0.043906037004720545,0.006040632768323442,-0.5,0.2666666666666667,-0.36666666666666675
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.0015159340209037221,0.006635469062782307,0.0014413760085685943,0.49999999999999983,0.7333333333333332,-0.23333333333333334
