id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.0046205589140310655,0.0038734035733255256,0.014871509668926622,0.0028676210685429837,0.002848632309275547,0.0028843579049800047
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.005271548452432497,0.0043028020356434705,0.018993026394234124,0.0035693678676013215,0.0038250299745785587,0.003315504321083379
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.004833199498373226,0.003898224909073288,0.016392883150981488,0.004231158312098524,0.004255412409596176,0.004164760169764431
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.004804392141285438,0.00398658954227809,0.012886573509158596,0.00388564424104764,0.0040186372473421375,0.0037133317180550766
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.004034260524354656,0.003366862103615238,0.015883790297426724,0.007445947584076023,0.008231463979162768,0.006633422269701459
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.003948733417006456,0.0034192344701106233,0.013138364976019909,0.0039345312169710486,0.003889942171921076,0.003977983600723233
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.00587329342037612,0.004935169795414709,0.012827177396796466,0.0041476376588314556,0.004252958877163667,0.003996850057217433
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.003395156504415926,0.0029702221837113784,0.0075200632223579615,0.004217917902550415,0.0039777847411073194,0.004706037420164146
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.007560430264023553,0.006275278509245981,0.018287048123199055,0.0030797240775212393,0.0029781762840219305,0.003260484832664367
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.005559559595531541,0.00482008676749133,0.015820869078309294,0.005732033327277328,0.006039457180013424,0.005285335737182023
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.0040885011001093995,0.0036504693059599435,0.010866203677062725,0.005321330552463838,0.005435483160662826,0.005111606531875644
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.006175582040416776,0.005187422024105681,0.018213594877696828,0.003051576082315524,0.0031280555567778446,0.0029346210767563423
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.0061520653259429705,0.004945652414059057,0.018732969017982447,0.004063594784850524,0.0037394432843432766,0.004953527368558007
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.003897321840097185,0.003420115031373663,0.009840808086096537,0.004111251578151488,0.004754052464394704,0.003529091177356841
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.005142987068864006,0.004199690056212684,0.015881555550248647,0.0033423696920531483,0.0034295938341202207,0.0031529861681754085
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.004212605065089886,0.0035720446844746713,0.009424893982411744,0.004694493280226895,0.004410232271393555,0.005061577190012344
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.0034927444514752945,0.0030698199442864313,0.008488670956374827,0.003484057305508688,0.0034535488875886066,0.0035176469461822373
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.0038914302802630788,0.003408583977648979,0.009381666785792189,0.004776258439892905,0.005472846630451995,0.0041842891830432246
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.0037045243891308186,0.003181489626137795,0.010972251199571854,0.003335498856416587,0.003078391560278349,0.003894231048063746
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.004633029168949805,0.004010949741329497,0.011500781311483911,0.002873032943068822,0.0028784490482044785,0.0028582303143663505
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.006458602817369708,0.005824315330330416,0.01154400110536435,0.0036685102240975468,0.0035028967174761706,0.00404869454861104
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.009052704120184088,0.007201177231809601,0.022474606820863285,0.004156272391242114,0.0042659431879706776,0.003966144493896586
