id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/20,nvc_segment_1/20,nvc_segment_2/20,nvc_segment_3/20,nvc_segment_4/20,nvc_segment_5/20,nvc_segment_6/20,nvc_segment_7/20,nvc_segment_8/20,nvc_segment_9/20,nvc_segment_10/20,nvc_segment_11/20,nvc_segment_12/20,nvc_segment_13/20,nvc_segment_14/20,nvc_segment_15/20,nvc_segment_16/20,nvc_segment_17/20,nvc_segment_18/20,nvc_segment_19/20,lag_whole,lag_segment_0/20,lag_segment_1/20,lag_segment_2/20,lag_segment_3/20,lag_segment_4/20,lag_segment_5/20,lag_segment_6/20,lag_segment_7/20,lag_segment_8/20,lag_segment_9/20,lag_segment_10/20,lag_segment_11/20,lag_segment_12/20,lag_segment_13/20,lag_segment_14/20,lag_segment_15/20,lag_segment_16/20,lag_segment_17/20,lag_segment_18/20,lag_segment_19/20,nvc_segment_0/2,nvc_segment_1/2,lag_segment_0/2,lag_segment_1/2
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.3753953364240713,0.3968289455119708,0.3448015454831418,0.3605658222744958,0.1744428632637455,0.3124463170167638,0.2773534953956837,0.1593540072087338,0.1357611476434778,0.1831321897937896,0.1578674063296207,0.1863179449883812,0.1150619984045354,0.1239191406449786,0.1627036710896757,0.1367703594570012,0.177587339249467,0.107989378649728,0.0984196501029907,0.0513162425610194,0.0632810782151821,-0.36469677704682396,-0.0540660069655591,0.1313505445298247,-0.1235557521145447,-0.5251165533381245,-0.1040503436711076,-0.1648423535481968,0.0729909521440285,0.08574271656808,-0.5722999244476386,-0.2149096135773121,-0.6181565223800837,-0.0528497982199126,-0.2230545266920964,-0.2115189710136916,-0.4151049440728251,-0.4520795326810031,0.0397018445832642,0.1417251736782943,0.1563288923286712,-0.2781893231614056,0.46654438924969055,0.08652426719125904,-0.29227707446514456,0.08200195330495513
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.21857297514226387,0.1486484976755522,0.1489245992611841,0.2387050212481933,0.3558279641320324,0.2410883699741658,0.2731281260678452,0.2260287430663863,0.1846157069825873,0.1429532440367457,0.1908238205605085,0.1045610747769102,0.0617699496540411,0.1009147542394679,0.0870535471060071,0.1605027962205353,0.0852465204777693,0.0296212568680473,0.0361265295349301,0.0672946988360945,0.027190285006333,-0.18476629315460605,-0.0968338744022061,0.5285632003351136,0.2490574929311969,0.1656368904248263,0.0865012043145879,-0.2026302928753447,-0.6518570880022341,-0.5146874018221802,-0.3619314413376619,-0.7376252312633085,-0.1984937340733759,-0.014207421370475,-0.2150661500331622,-0.3225555904632247,-0.3347994554403602,0.0515411735958389,0.3821342548958006,0.1305372290292177,-0.0642824728592871,0.4618633713826927,0.28947999058845475,0.10534638372939725,-0.18741054909763682,0.018317799420532695
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.36735559666575784,0.3089020506261791,0.1836116456305642,0.3317395037704215,0.4395590809942115,0.301370499943684,0.2949032492310711,0.2605574727011907,0.2656914344352841,0.2036299099174709,0.1685479460128589,0.2295642578139373,0.0899958282090103,0.096835669750545,0.1549277158368801,0.1102891457646168,0.1091943406903641,0.1042073813515726,0.0654389370205059,0.115984689842465,0.0757859531726029,-1.1639028262040425,-0.4982472054501989,0.3233268135045497,-0.0957469928470863,-0.1441921554175997,-0.1318139297559316,0.1275807655601855,-0.124084625487806,-0.1561451748542487,0.4894029159698008,-0.2758360026835237,-0.0335345976131757,-0.1645548090824049,-0.3386531356596838,-0.199714639377876,-0.2314161257098581,0.0316069960597556,0.0778505352873921,-0.2751934688323837,-0.119152233277584,-0.0188319112547363,0.4071031810341928,0.17628251594644787,-1.034488949362663,-0.07538433918228117
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.32447851917660453,0.3828503641274254,0.190089530156316,0.2951547018126803,0.0856304620709738,0.1181416896863576,0.1032189747903885,0.2248651665095108,0.2005118950268639,0.1626056264020012,0.1874929913766174,0.1803612635270068,0.1408632540229955,0.1471667314235481,0.1323511381156014,0.1059908776712415,0.0731846911888968,0.112364943847756,0.1146878545678134,0.1194220351310927,0.1005980511787673,-0.19910416451734925,1.1417947659823242,1.222041679562571,0.8487826266377798,0.0706093744626706,0.2951098731043021,0.6340916125038689,-0.4572371814711647,-0.9603064066852368,-0.5449895113312013,-0.6129423295161458,-1.2430448089686714,-1.1583015234361569,-0.6528422572990819,-1.2067557343787614,0.0738849341449155,0.3509835276316241,-0.3561160975274253,-0.0081674060318443,-0.0508356545961002,0.2687850338732419,0.3777355779303009,0.11420367009463829,-0.25674885656315555,0.12564909384779394
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.35551567180880067,0.3543740853261899,0.2757353448603706,0.1836185862272352,0.2522899940012586,0.1438602065452105,0.1751117791159117,0.1865644924408989,0.219133380112928,0.1673738786327096,0.1566385792986202,0.2113248174410579,0.1514259762729175,0.1835172348690765,0.1003745523550284,0.1173416796090159,0.1117014814625807,0.0668979722503773,0.1431851828223898,0.0795529084850039,0.1018584495332607,-0.2631983475044435,0.2016300779811372,0.0039791196297897,-0.481593569358377,-0.0757473859505852,-0.5546588525403916,-0.5988535011448977,-0.5267489711934156,-0.4890314006180845,-0.7560807673215802,-0.2662087076267794,-0.142936061872508,-0.2661366511344895,-0.1007910201598053,0.0147955997502041,0.1964740356439448,0.2743671038093866,0.0634097132151607,-0.1349858288898496,0.090815199116107,-0.1200140910473811,0.4242399485803292,0.10116644819610815,-0.30675249395526094,-0.08904581191654257
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.2513524495256288,0.3254442541259425,0.1933401863099139,0.1014042776040021,0.0696892862961925,0.0192528281871055,0.0768355964939579,0.2195705100864468,0.1523908288743562,0.2083247946299291,0.2326055081339179,0.127626191325205,0.2192199757569459,0.1545328375578262,0.1013386620997404,0.1055246725434909,0.1092115178470142,0.1142019615243302,0.1426156905498416,0.1503870156181858,0.0892358525248349,0.08740180968479662,0.3129412349607238,-0.0038778959928407,-0.3093450664545424,0.2493371117960955,0.1113486460508434,-0.1020682111961817,0.3918912200457394,-0.5381326439296013,0.2936429021245566,-0.1634019422624374,-0.3349656955354479,-0.1696828079944317,-0.4937771369858473,0.2240727851247887,0.3737115110536607,0.3264807265254714,-0.4669633091379138,0.01109509131285,0.0468910543236883,0.5587401809684797,0.282727110020969,0.13522156455888493,0.006189718603957476,0.08479168738192305
M387-6_v1,387,True,6,7,"(90, 7540)",M,0.3382652602772114,0.341716321160597,0.2867033740048983,0.1747437445665804,-0.0640264467529292,0.2297545959946009,0.3103488734451352,0.2064762841351604,0.2291410248151837,0.2188234988394588,0.1573119096593953,0.1725572177966986,0.2485321328823782,0.2252584698622377,0.1758224977368152,0.1462561362378353,0.1821619614404077,0.1847327441240695,0.0908919719876211,0.1317803776904907,0.009516616063662,-0.6851056323413438,-0.9844041837878224,-0.6375918316523471,0.9207134852446768,-1.2246814427427055,0.5512285726144524,0.3451624953305939,0.7310837172622754,0.7026418461793881,0.2946498983107127,1.0116942680446603,-0.0516332544722533,0.0877537043954675,0.3822583322956875,0.3775162910388909,0.3212136305150874,-0.2318308222305233,-0.0365458846967998,-0.1418980616776657,-0.3840638359689536,0.1138504959946872,0.3995198506160977,0.14371222491231242,-0.8140019922799153,0.06749885858963185
M387-10_v1,387,True,10,7,"(117, 7462)",M,0.17758561788728333,0.22520741197219,0.0905719658601041,0.0260640014257391,0.2349740161216822,0.2194774795921708,0.0751418102160624,0.1636925829659279,0.1566477853385207,0.129667721572715,0.1529521962701301,0.06585266465599,0.1291472631768139,0.1643840975679633,0.1296785959719927,0.1263899916625913,0.0605615761498148,0.0268662111089017,0.0566009851239622,0.0480674493144418,0.0331067723211151,0.4862360983573105,-0.1958269564330169,1.1274665850423429,0.7083971023364962,0.5126517702275277,-0.3867972655851444,0.4219467401285584,-0.5961432506887052,-0.0757167635955514,-0.0487297214569941,0.0053770023466993,0.5330476481991634,0.2669829609223548,0.162401795735129,0.4217222732374247,0.5466483011937557,1.0918273645546372,1.2609733700642791,0.8631874298540966,0.5250484644424038,0.7515049484746454,0.1818576290957868,0.09840784984284716,0.6602081420263238,0.4583817977757371
M396-6_v1,396,True,6,7,"(89, 7528)",F,0.26226199090796665,0.2470842947310949,0.1686214899351381,-0.0120100977143079,0.1767514349722693,0.0355948338224446,0.186257653933112,0.1748348955614734,0.2316443608628354,0.2095465712674398,0.1207049373053128,0.1684060262283963,0.2476062211599989,0.2757380246288974,0.1572968138504949,0.2348494821068706,0.1431420629650612,0.1744271432136886,0.1663838587840689,0.0772094394749175,0.0722849617629011,-0.48531767730547476,-0.2168244740553141,-0.7013171400888326,0.4554350015828705,-0.592559549505473,-0.5414568164158057,0.0174307614086587,0.227233046498019,0.4072677737166758,0.1201542579215471,0.447165702554657,-0.5029786744179353,-0.6092996038027263,-0.4545236519219884,0.059679013056283,-0.6270181598411375,-0.0256041288936215,0.1099279554110187,-0.1522625454475686,0.1478688807666849,-0.3099644093974539,0.280208272349454,0.1633014857423269,-0.2343319806985735,0.002906725760497312
M397-6_v1,397,True,6,7,"(69, 7503)",F,0.34904128160276493,0.2960442257018254,0.2128786698209302,0.181532254786367,0.3406147987050416,0.3080623387168494,0.2808993959261857,0.2693390547573765,0.2761310028525643,0.1387022459438106,0.1637546039913568,0.1497413717858523,0.1044145907655203,0.1612526634965492,-0.0584293282033873,-0.0095353743446412,0.0798554730872174,0.0518747329465213,0.0582436060580755,0.0378910196961148,0.0460017197318988,-0.6759365827110266,-0.2114236770964374,0.6181133624189218,0.5099435239956104,0.155866634547612,-0.0978828189823612,0.6707707680915036,0.2278936145535005,0.2251456509907835,-0.2669896416048821,-0.0746946459320325,0.1196791663320932,0.2060348134864341,0.2167768528679639,0.2452914358109615,0.2441940347777985,0.0826619558719877,0.3126522309360027,0.1402799710928508,0.1134427165582648,0.1922860737132303,0.4439119385328617,0.08304155985751231,-0.5317577152645806,-0.021644674036205316
