id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/20,funcsim_segment_1/20,funcsim_segment_2/20,funcsim_segment_3/20,funcsim_segment_4/20,funcsim_segment_5/20,funcsim_segment_6/20,funcsim_segment_7/20,funcsim_segment_8/20,funcsim_segment_9/20,funcsim_segment_10/20,funcsim_segment_11/20,funcsim_segment_12/20,funcsim_segment_13/20,funcsim_segment_14/20,funcsim_segment_15/20,funcsim_segment_16/20,funcsim_segment_17/20,funcsim_segment_18/20,funcsim_segment_19/20
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.5249858142049459,0.37980227871437855,0.49382803051609325,0.6213033829160054,0.34710814480983804,0.3027468563860909,0.42113287098224284,0.4703184560464993,0.4075910758179475,0.4481483103441689,0.4120371847635684,0.23032792275137548,0.3464177048135687,0.3365725802977084,0.32487544398249935,0.33749577474126574,0.33683501531092597,0.12836952724976064,0.1587504538043093,0.06502618626757695,0.1486209894800872
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.6127337677632204,0.4695456292932809,0.41770170954307057,0.7293175258709789,0.6267076953402252,0.7273463271718232,0.7258969463015638,0.69268931787462,0.4826194310157414,0.44056504714297184,0.47758644058240646,0.3800869470384848,0.31286797030824,0.4730149279877763,0.20443048292185284,0.2277527572810547,0.15273927909384669,0.3397832348654321,0.3058067323399099,0.18679785201118718,0.12524774102289907
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.5341092384652784,0.5286020861175469,0.5672484862257935,0.5351971303287465,0.4232557428145966,0.49692857012024505,0.4481218737483076,0.5158473035834339,0.4467835550776205,0.451705229060364,0.3673222866724607,0.33526831234238724,0.32372101573570033,0.35285339533867915,0.2838092884353153,0.1658456866368938,0.26289170248010735,0.24942733064433867,0.12750869051173078,0.195509117595751,-0.0021094601911181283
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.6048746017209748,0.6805467711396829,0.5805544658029232,0.15606749817050575,0.3667822897019933,0.2848599420457657,0.3563654709805724,0.4292717504601727,0.5132919526866477,0.3541233502581914,0.2102145658798022,0.2797174957968504,0.2858944926352279,0.33292086268119947,0.2691881221545918,0.24019207112226756,0.16141493338699395,0.10541625802612532,0.16026614930995647,0.08874961882327714,-0.026632727584191045
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.47068111608096197,0.5327988639303826,0.5413553563206526,0.30420345345945476,0.32139325815058395,0.4587918678702387,0.3511679024993463,0.28599903091208867,0.31840870452129805,0.3284494150044453,0.20595884991479657,0.09420065697405018,0.27751080653837523,0.28202426636369066,0.1328386541734316,0.06362050576197496,0.15377393550708676,0.08303894864413232,0.17439304760102178,0.1198741237518152,0.1865212660223793
M387-6_v1,387,True,6,7,"(90, 7540)",M,0.5199930159933746,0.7091248737308941,0.665864963763401,0.06250960681291282,0.19909508668379078,0.3813703550498079,0.5039884220062639,0.2521393322813895,0.4420579146904311,0.3220356677674195,0.3081402657710937,0.3470959715691429,0.3278841174272473,0.27720279312621793,0.2755166655513378,0.04749366589956645,0.2042609433636805,0.13819622448075605,-0.04889391077735668,0.021553003692113406,-0.03422024586391252
M387-10_v1,387,True,10,7,"(117, 7462)",M,0.30286951832625225,0.46132938929867223,0.23872343953737227,0.18532905813840195,0.5571203007048549,0.588974553081144,0.4658403477323125,0.31047759402512043,0.5067504577265824,0.4072563313796976,0.4239972856624827,0.28127333772047913,0.2731781140980315,0.2893491287817755,0.24699654020508122,0.26451258332479893,0.17339798070720408,0.028029856596611565,0.06572572280983252,-0.03904054697097861,-0.00996379111071351
M396-6_v1,396,True,6,7,"(89, 7528)",F,0.3932391456677886,0.5490148341282779,0.6427018675885419,0.07157234581255698,0.30291840454895236,0.44212200673474356,0.3637375653973399,0.3034415258683411,0.449879691094057,0.40149392165547626,0.46910358998793455,0.4091665258401288,0.37117132944997566,0.28444119246266963,0.31921223589604314,0.30085177241112926,0.19414583298081528,0.22382552357007154,0.26014781263498743,0.2181845434528417,0.10991929743584285
M397-6_v1,397,True,6,7,"(69, 7503)",F,0.6800308633438301,0.8233232710076008,0.5370984230730736,0.5049789725360143,0.6228909068198657,0.5704770906447538,0.6614466882332539,0.553746279554028,0.5219878999609107,0.1362330009426465,0.26701002649941324,0.26154946412119484,0.27764122481997394,0.3290017955894774,0.21201773000124952,0.291294002025235,0.21671168620783093,0.2008968471748821,0.2740564559414628,0.13445421346903072,0.11847578423389099
M410-6_v1,410,True,6,9,"(99, 7428)",M,0.41755363359891834,0.41517500981356664,0.3624683460490278,0.43823396660144714,0.5229269449862305,0.5267401885504343,0.4606581736542988,0.44516598017465,0.423719969857539,0.517857833529699,0.4904583361218666,0.5287061400794403,0.29809833996042123,0.364665587341986,0.12356710804134437,0.11049741952314662,0.04206491999674814,0.1790420768242575,0.18483783997103267,0.18149530578177644,0.11514962336103578
M410-8_v1,410,True,8,9,"(102, 7532)",M,0.4142923370776629,0.5369353208286373,0.39189009032038824,0.3536050530268454,0.45398864729873,0.14001290150349763,0.3569607846883663,0.2577889475772693,0.28481492649144946,0.37235050609065823,0.2648715728516307,0.24792485298983094,0.18952021705689387,0.25576999010224266,0.1767032651794457,0.10621991331992124,0.17715821897600886,0.14379652110287366,0.07862863753568029,0.14679271144898934,0.06042105458030288
M410-10_v1,410,True,10,9,"(71, 7137)",M,0.33345556366694407,0.5179907374275146,0.24470174106559764,0.4704833113326273,0.36796390295258935,0.2649031992387383,0.28409933437560325,0.190085218186998,0.09304372948737402,0.04179123761474401,0.040555298996816334,-0.0913953941778407,0.03920884501594316,0.04268593578458217,0.04651989501129661,0.05398437653584196,0.12188825433282413,0.049736322892680034,-0.010992393450335668,0.07924780307291285,0.08408526128168044
M412-8_v1,412,True,8,9,"(135, 7515)",F,0.20770812242016157,0.13230016923833024,0.16730349531029945,0.008206175194105938,0.2405253686935329,0.4166140611488128,0.35595183200334785,0.31020523857073423,0.3264412181059148,0.13511288324641604,0.15111440194426567,0.268041867985004,0.1292979369944574,0.11842970749419425,0.17469558512789732,0.3493670314310067,0.18846271460381323,0.16978690628387155,0.277311789410956,0.19751135462111064,0.20177645642482847
M412-10_v1,412,True,10,9,"(101, 7163)",F,0.1825239846956008,0.581836221449278,-0.2546229910761353,0.13255268119318664,0.1522621998350297,0.0447008729623112,0.16374094545934667,0.03788306097314655,0.10491806038207607,0.1258061529194423,0.00719004460682434,0.018687787561343882,0.1801955601544703,0.1434490785943664,0.05629230388574737,0.15977581702009788,0.08288840183062567,0.11301568473519999,0.02131571449480356,0.011126585474984482,-0.014688926793280222
M415-6_v1,415,True,6,9,"(131, 7585)",F,0.08799795995676646,0.4883583202784688,0.01810205365774363,0.17865585891884322,0.18652933809267191,0.10352822835272427,0.23639453042057665,0.17024436989637445,0.026296247824143033,-0.011941841759171573,-0.1727711480576488,-0.13768028324217577,-0.14474764106355367,-0.0542786668327741,-0.10367292035952401,0.0834624715995946,-0.15783299672780093,0.09904749819196171,0.22379980132053723,0.23370935038306986,0.21455784912166864
M415-8_v1,415,True,8,9,"(62, 7420)",F,0.5212980988841951,0.644344129249724,0.2235733477285481,0.374133135585878,0.33981440061154955,0.31376911640871114,0.3837243417163435,0.4354653535006136,0.38455179762115393,0.4683631291853249,0.34066273251050333,0.2871841015404257,0.3786664403015339,0.27373674506049256,0.3294099692256174,0.2875574297156003,0.21283641305966067,0.2384564199997411,0.1543161026606032,0.08037349394755842,0.06762201825014051
