id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/20,GCaMP_funcrep_segment_1/20,GCaMP_funcrep_segment_2/20,GCaMP_funcrep_segment_3/20,GCaMP_funcrep_segment_4/20,GCaMP_funcrep_segment_5/20,GCaMP_funcrep_segment_6/20,GCaMP_funcrep_segment_7/20,GCaMP_funcrep_segment_8/20,GCaMP_funcrep_segment_9/20,GCaMP_funcrep_segment_10/20,GCaMP_funcrep_segment_11/20,GCaMP_funcrep_segment_12/20,GCaMP_funcrep_segment_13/20,GCaMP_funcrep_segment_14/20,GCaMP_funcrep_segment_15/20,GCaMP_funcrep_segment_16/20,GCaMP_funcrep_segment_17/20,GCaMP_funcrep_segment_18/20,GCaMP_funcrep_segment_19/20,dHbT_funcrep_segment_0/20,dHbT_funcrep_segment_1/20,dHbT_funcrep_segment_2/20,dHbT_funcrep_segment_3/20,dHbT_funcrep_segment_4/20,dHbT_funcrep_segment_5/20,dHbT_funcrep_segment_6/20,dHbT_funcrep_segment_7/20,dHbT_funcrep_segment_8/20,dHbT_funcrep_segment_9/20,dHbT_funcrep_segment_10/20,dHbT_funcrep_segment_11/20,dHbT_funcrep_segment_12/20,dHbT_funcrep_segment_13/20,dHbT_funcrep_segment_14/20,dHbT_funcrep_segment_15/20,dHbT_funcrep_segment_16/20,dHbT_funcrep_segment_17/20,dHbT_funcrep_segment_18/20,dHbT_funcrep_segment_19/20
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.9393632987813085,0.9076020922886007,0.8172439062272111,0.7572995472274769,0.7764265682595434,0.7666123856801484,0.7597536058314136,0.601152868553027,0.4910195712591373,0.5633097883762269,0.6654860151489755,0.624927969620973,0.639756118136637,0.6641087341160584,0.6395175949762769,0.5520107911135601,0.5289636792402485,0.5416602107270246,0.3822266418830332,0.3666808223928976,0.6588475879368879,0.9063802895111822,0.7987943220298316,0.8815535175826588,0.5742178978372596,0.9230946293101527,0.6955123329958974,0.6217008925767187,0.6911317487643789,0.5239872282716483,0.841282360638775,0.6673494822519431,0.8144027965897167,0.9207026601214656,0.8251649917751236,0.85950378476131,0.8095075442844702,0.8238646173167439,0.8073666341168065,0.717491092189885
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.9272945022819055,0.8495896795156734,0.2261594494736522,0.570889864432342,0.603806463583792,0.6505571831939424,0.5347061219565588,0.5624940677921111,0.5806127171303652,0.6507045519951471,0.7269452581261598,0.47593380873851654,0.4670146374046162,0.6257153158600527,0.36729598799311813,0.36795708133268523,0.33395582510587124,0.4331706583482606,0.2557589263582465,0.1783865560271574,0.7293228871868559,0.8978663174209789,0.8578240806612751,0.930208548897847,0.7761104222167658,0.8278186378501784,0.7639542760419591,0.8286087314047028,0.7189037933747422,0.6385865559683621,0.7717829130427374,0.6704762999331475,0.6794096983038972,0.7764441818610319,0.7203865216716603,0.5516773147229086,0.5393270718980018,0.6672766425579734,0.5263183145700187,0.5402813940321803
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.95077859284854,0.6973906519724439,0.7454505883705097,0.665655336477094,0.6801904525845829,0.6520008329596144,0.7159119575120453,0.6994078768976071,0.710658257757069,0.6845668369627782,0.6793354311938796,0.7459965559907882,0.7045349315866682,0.6627995558327016,0.6786006677788131,0.5087102585782559,0.5094893632124237,0.3634595498851924,0.26454964266884323,0.2081013769421263,0.6288446892850135,0.8374915866363833,0.8181653012423271,0.9451489783485073,0.9592748347571326,0.9546761249483421,0.9357640103904187,0.9512316668111054,0.9580629786293546,0.9603760460028338,0.9351166015696241,0.9321436457277825,0.9604383018540019,0.9559581957355067,0.9387430553720398,0.9253284245819501,0.9512258784013342,0.9518254906613274,0.9126178829810382,0.8906118116136679
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.9649292472374872,0.819729175151095,0.5336634280358564,0.42987446789798545,0.45908648715940104,0.601163497893879,0.6912894021871919,0.7691983961440652,0.4720416034911748,0.6036375409213471,0.5587732788420363,0.32025796750641794,0.33066157392050377,0.5514195144195677,0.31065546954577145,0.3220013332828996,0.19177314230876438,0.24253534583700706,0.2081742044877175,0.17325502637740098,0.797852371379494,0.8751057238550771,0.8669832775601397,0.8726563010769143,0.7968266729150468,0.8274774330573811,0.8315047496710469,0.7711538498033593,0.7575590059178636,0.7408806388580057,0.8384225089613755,0.781224576916209,0.7925862577808033,0.8140241461629412,0.7853382952645686,0.8371043310546156,0.6582291868497998,0.7865899518616873,0.7812757091104363,0.6683654309946583
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.9594319476813241,0.8281240280403909,0.5650052204276392,0.5527770192575922,0.6023331299908657,0.638643914144647,0.5006015946860775,0.6278015834672236,0.6039240277805507,0.46559945979816414,0.43768151679061934,0.3979867881250448,0.43195954067127096,0.38564200254174,0.2568368368442011,0.4122411709018872,0.19700065655294172,0.2081608603755638,0.23332215879291762,0.11127269666008756,0.7953603088485465,0.9193804666626286,0.9042556571139088,0.8412917185826158,0.8948612961733395,0.8982091241619243,0.9114498308859159,0.8215356910953197,0.913379460304618,0.8778036170822824,0.9345691280255302,0.9465375203228881,0.9354303344806795,0.8819284056677693,0.9101348682869878,0.8970308846397013,0.8303143321183295,0.707066104947714,0.6527408113863462,0.5473026795705703
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.9194005091047635,0.9547932058648729,0.9306823600614466,0.6311959859722952,0.5497767714388834,0.6538933837029361,0.7926029156184398,0.7357422866524274,0.8212522367625156,0.8277891824706618,0.87439204561452,0.763656879351964,0.7519669733689238,0.7945058198847903,0.6546617823797561,0.6209217901334825,0.6384126985688965,0.4840923072379844,0.3391562105092875,0.2888984549533184,0.7583082299816382,0.8728365166298662,0.9148352078979294,0.8606472273469834,0.9025315557415121,0.9098597369536902,0.9320949938095746,0.9206778157353105,0.9087665771348457,0.9275044973126199,0.7540897565310077,0.748669149654741,0.8861199131341438,0.836169597865554,0.9197697781038342,0.8798628085014116,0.7042974398456318,0.8944295699288544,0.8152478815667271,0.7351721357348611
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.9669816615500072,0.956471804169265,0.8790205517270304,0.6620462235345318,0.9217043168887231,0.8872652920793245,0.8967359518278785,0.7802571741802975,0.8531687140419826,0.8252602076427826,0.6866201764935014,0.7886506206335546,0.7083260609044602,0.48421727582906054,0.42399577707231034,0.28771478633985736,0.43421693993300653,0.49605981079591516,0.37062334448116196,0.29851718389065685,0.8343927484060149,0.8996867414526426,0.9510999330571873,0.9327775217325721,0.9650608154694845,0.9445679896434295,0.9466965898323743,0.9588006940583613,0.9693013095418667,0.9105080085661152,0.9259785043961584,0.9174908290269389,0.9400603945232567,0.8588147167876121,0.9037800049869538,0.8066799793804719,0.903537660695869,0.7965032853322355,0.8061863227082114,0.7669651342734611
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.9563341956920253,0.9616320539844241,0.8866077613525701,0.810318477704061,0.8209548980184659,0.7589678290250755,0.7906212382009667,0.7817914080468847,0.7883334970932825,0.7695252844012624,0.7532561025924228,0.7069190062753743,0.6424239921058638,0.6903596108666715,0.6030975566273206,0.6336529209544165,0.6756964863999823,0.4986942968706244,0.4142998975687778,0.29377695285566563,0.7985385120547343,0.8798824655270118,0.9400736136046236,0.8916570220681763,0.92143152577486,0.8784280069339341,0.9328283123406896,0.897154863796036,0.9165011879748877,0.9473183986115655,0.9000061335780383,0.8494542753283396,0.9008126717886566,0.8853213972332961,0.877550343097854,0.8910230515464556,0.8662734751618204,0.9099683389296904,0.8223513274686197,0.7832704646931204
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.954657892823324,0.8803007345785057,0.2722213395539718,0.6699528962853556,0.7014040414940051,0.8170701030809074,0.7423809997089093,0.8069952356178057,0.6078083957188818,0.6324432316535215,0.50572619790973,0.6584053550113085,0.6343011948166416,0.5842220340020576,0.5918967704893655,0.34797276586342923,0.4212622927808239,0.4237932411837964,0.33842165163070853,0.23058342236933588,0.8915996667841425,0.892611515718408,0.8535030991685746,0.8527856355206758,0.8426963659023265,0.8393196750048465,0.8516129488873603,0.9094379607198123,0.829119590523604,0.8360885714122144,0.8779922520487753,0.8834679769246664,0.9319117032107147,0.7575409060313454,0.8412261567223522,0.7668819908903117,0.7641574929647651,0.8329970115562947,0.8283296173555663,0.7669808346455617
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.9368970103631341,0.9014964223309903,0.7650456785268717,0.6381768631524009,0.641248785931309,0.6650902748998154,0.6724436987027094,0.7819070260615655,0.8177956922390978,0.8034372528469907,0.7749423926015225,0.8168401694695898,0.8232445590205032,0.7446189233280248,0.7228528930001864,0.7290994679400383,0.6377781366525292,0.6742619960045575,0.6208313881263744,0.4060302692708741,0.6966149901934843,0.8815309570635436,0.8418431130383351,0.7362905758360443,0.795581496025051,0.8304842394019051,0.7269075076700688,0.8628133592702592,0.8886581076503565,0.8769237129171296,0.834636295576107,0.9386933097802765,0.9678411829147384,0.9534454796909899,0.8924151767883075,0.9320006621696876,0.9038046490025109,0.908095507932916,0.8817606053557542,0.8386169962670064
M387-6_v1,387,True,6,7,"(90, 7540)",M,0.972624314492979,0.9540690141879943,0.7881772038520967,0.7780514239345162,0.7189250281704261,0.7606326141211778,0.6729355305502381,0.7469934624147684,0.606756006401321,0.44287994541860426,0.6321986614824531,0.553950277257449,0.5931159188157281,0.5442993294815239,0.4823962514860578,0.49595774704087725,0.5530195839782863,0.4056511095966276,0.31141021761765164,0.19597111848253806,0.7361895454069451,0.8805018018510073,0.5719714701749434,0.7251090325104083,0.8960366078579154,0.9588475102161734,0.7740627776893367,0.7973825535160394,0.8459443669551066,0.8232932453347976,0.9248520841325165,0.862781489265268,0.8245869364988637,0.9243867049265337,0.8008454279019391,0.9365530121688858,0.8618630080971419,0.5999505520576616,0.6043323118371203,0.20484753043524817
M387-10_v1,387,True,10,7,"(117, 7462)",M,0.9802796969460054,0.9649842846796098,0.8510971115417328,0.6097552783151824,0.7234363767742774,0.6129171624485826,0.7401738337346154,0.5427538813753443,0.44840584491871743,0.5935704827345901,0.5343243901632481,0.5526177368362281,0.72772476459689,0.5438570950241147,0.535968399409033,0.4564762312553944,0.43870791670391907,0.19579563160199706,0.10841499366356781,0.12817691800411843,0.46804113644748435,0.8931484717378592,0.8760182939451696,0.8674833190040573,0.8981233718285974,0.9432673692506425,0.9263120101377009,0.9391961193701515,0.9359399244349941,0.8879755711619577,0.9212924232597086,0.9276956033271326,0.9307440589286203,0.92283392458665,0.8998780544095686,0.9055883895490202,0.8784851549494762,0.8467940387312061,0.8310877222864334,0.8207367852064276
M396-6_v1,396,True,6,7,"(89, 7528)",F,0.9636251801099597,0.9595725273545918,0.9173216509608478,0.7125580509125405,0.8346259831239066,0.8923982166941447,0.9123438564414332,0.7923790401611692,0.872471920712432,0.6964306430745453,0.7238312071787666,0.6991817023019803,0.5476814163518419,0.40249029480973614,0.610400567510054,0.4922661121587865,0.44153326268061416,0.29834762516925284,0.25358289219506647,0.15995050048038598,0.7816985482317634,0.8664932368808307,0.7188234270528856,0.9012731128703682,0.9216318272206588,0.9264076771775777,0.8142540709995186,0.9294541406855157,0.9123878942327731,0.946540949917737,0.9599168948792206,0.9642029121687822,0.8999896288703138,0.8926667447421202,0.9382788122606325,0.5646767288050047,0.8901567513425704,0.9408831787617257,0.9110312287117248,0.8458384256416682
M397-6_v1,397,True,6,7,"(69, 7503)",F,0.955112564351016,0.8453468405966805,0.5389655622838945,0.5208982233815935,0.5930404557353385,0.5409388546835145,0.6773497509262479,0.6975803807461761,0.6371507071116734,0.5152047045601597,0.5591262358035037,0.6747528801047699,0.6807980106993153,0.2831241087792652,0.3566273933135246,0.3589259912366744,0.4183105099538373,0.33897753555435417,0.2549084311256167,0.19502417861314403,0.8350584851818549,0.9200772827485566,0.9143521606192728,0.8798888174093716,0.8786948982999635,0.8194247982145793,0.888117950723172,0.8069762705588632,0.4959418828019773,0.7724040521063705,0.7327223930113606,0.7663082683448144,0.8861746127932865,0.4384942522126387,0.3625778244759688,0.7194756354205791,0.4431258603283974,0.6605978595133396,0.366827182291376,0.14399277487974543
M410-6_v1,410,True,6,9,"(99, 7428)",M,0.965051305954865,0.9138877469584679,0.6298211839753128,0.4955825470745533,0.5428033429530682,0.5149568560312323,0.5356056331403781,0.47844910612484143,0.5868163831119716,0.5639772019608061,0.6454895579358455,0.6089468437733986,0.6771609094707945,0.4782495590812695,0.4965386738079855,0.38968212786520695,0.2834647754466212,0.41449636453968475,0.2789599223362699,0.25663291711698405,0.7093359763453024,0.8024081658480269,0.8507010340675806,0.9247268546716986,0.8947281078597124,0.9029126333137508,0.9252847850537566,0.8663454239246445,0.8453602130791074,0.9267297772381236,0.8740971412186627,0.7841864286293033,0.8498837762569887,0.7813210675181356,0.6485708552237452,0.7901494247563546,0.8091428136484425,0.759482053859805,0.8207115658133719,0.6137376584275765
M410-8_v1,410,True,8,9,"(102, 7532)",M,0.8873029528153236,0.8500040724983874,0.7671058240326457,0.7764873661592617,0.6550224575487601,0.7651380539127028,0.6007025510005947,0.7151159757250644,0.7058435848629402,0.7261581560060333,0.7189543216679081,0.6095909571885363,0.5157685802254481,0.527468066978539,0.24348629331388263,0.3707197035219287,0.28023814369295935,0.2946786630703478,0.31394172742513354,0.2830569856227136,0.6483921331493468,0.8919404522324139,0.8136756227843208,0.9524155027479665,0.8179720254854199,0.9349004086465535,0.9221777051630333,0.9542310144909534,0.8604068469487796,0.8805107809659432,0.9016066035664545,0.8706247623818492,0.9281376962810055,0.85434897052894,0.8501682224439363,0.8365748463364785,0.7486944423803831,0.7456385318780168,0.6989156462718459,0.7060069158652599
M410-10_v1,410,True,10,9,"(71, 7137)",M,0.8927899806939636,0.5860757428933598,0.19671513759280482,0.2953300188748838,0.37685325554328697,0.5515476870591358,0.5850315080556763,0.7012640145890368,0.6380762859273383,0.5498008121608027,0.5103511901528297,0.5878489396828803,0.4420013532392973,0.5131542457267457,0.4417636659394112,0.5012581919300328,0.3481549308155922,0.4349804082233109,0.36538554707211557,0.3522131443894596,0.7033794387863388,0.7615907057461192,0.5044460227353254,0.590471922312725,0.8307290097160333,0.8562661875372011,0.8278821057426146,0.81305904300697,0.8725579054964264,0.8443301521388836,0.8627637811617311,0.772218346786513,0.8221833394633168,0.8763531866281409,0.8133114021410676,0.89636443271035,0.841323662348294,0.8457852031902597,0.8574819479741481,0.7156270770332442
M412-8_v1,412,True,8,9,"(135, 7515)",F,0.8126936122553313,0.890345924678744,0.8537084368558318,0.5626024192717687,0.5562983547351635,0.4732268128144061,0.5287583244205784,0.6110626959828743,0.521886725332229,0.6394520841171015,0.33880748363042246,0.6223918018165496,0.45997387251225685,0.5212921241223054,0.5734801140216328,0.48097317528318195,0.4288685994433591,0.41168507723517245,0.37388838849206385,0.397336645049978,0.7861067179251348,0.9304077185185411,0.9482868429872725,0.9445491739919694,0.9594674143226938,0.9540518952517194,0.8354821242440895,0.4403048545059848,0.9401636158455652,0.9313274376599223,0.8788742213429471,0.9462270961372715,0.9278186596670048,0.9405091040971847,0.8342904611113175,0.9356224977790487,0.9169382696192231,0.5913840607059111,0.9024608350122314,0.40889438333859335
M412-10_v1,412,True,10,9,"(101, 7163)",F,0.9785365706757999,0.5254122320820487,0.08556615270531037,0.30009914096024853,0.24566619762546713,0.37009969089902583,0.42247076939910166,0.43071515487420964,0.43854797939773554,0.4976123395406569,0.46721844688657893,0.2809369169306606,0.1858803180359355,0.3088598741627198,0.4036627703230716,0.30660881819499286,0.30435688264471705,0.4066245986122682,0.24528070105864705,0.2153984329694342,0.5505659797432279,0.4413354031665803,0.90593485900213,0.9487128904780526,0.8638316373255375,0.93588574764974,0.9284232288990403,0.94071219138651,0.9574356608894037,0.9113782167979884,0.931436138712795,0.9573973766625008,0.9163224167384896,0.9607198243661625,0.9107452251572816,0.961443772025553,0.9568506114017262,0.9514155543634124,0.935633208891375,0.873493509257615
M415-6_v1,415,True,6,9,"(131, 7585)",F,0.888583317597822,0.7686016384280395,0.6844367769754458,0.4041708218089893,0.5391823830318725,0.31057615446807335,0.5693444645385102,0.6615472823282624,0.6309639674387558,0.7354812629254703,0.7120348928400083,0.7528202375168586,0.7503764579232324,0.7303346002141157,0.7665470694481353,0.7189117476103615,0.6318234879614526,0.6012989083083884,0.5996369311563311,0.5491189489333663,0.1732060398755135,0.39806278620810487,0.46266683567611316,0.6889991171469848,0.7412179722915143,0.9363151776448112,0.8792684264845922,0.9325561310755757,0.9538298231432794,0.8504061009546717,0.8914018166166721,0.817717835255821,0.8477282476989146,0.8167788321625189,0.8614899628156913,0.7908731182692766,0.8333052943936076,0.6682604257675503,0.649534025230108,0.61439556503018
M415-8_v1,415,True,8,9,"(62, 7420)",F,0.9588977787965487,0.497982939625749,0.6294111873217089,0.5173749600253944,0.5199666172492207,0.5400470777910089,0.2105797066925234,0.5122749628465244,0.3409575442009646,0.5088094455365251,0.4822244747789598,0.5502567784333752,0.605135791169626,0.5056917532017172,0.3454248881527139,0.2818242605612247,0.27865841768903643,0.27292313724349404,0.31630382189874173,0.22355841859626957,0.8187827963536977,0.8740596440305,0.8837757158913931,0.6815556105523538,0.4705320222146335,0.5477819606685321,0.7817671639554301,0.7889825051175023,0.7132784131347687,0.817344354526489,0.8126134816065055,0.8470130991520781,0.7997144585872016,0.8307815503715799,0.8812947220690547,0.8756452407353368,0.8204234357495318,0.7113088209531756,0.72037168040656,0.5986853838075602
