id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/20,GCaMP_modularity_segment_1/20,GCaMP_modularity_segment_2/20,GCaMP_modularity_segment_3/20,GCaMP_modularity_segment_4/20,GCaMP_modularity_segment_5/20,GCaMP_modularity_segment_6/20,GCaMP_modularity_segment_7/20,GCaMP_modularity_segment_8/20,GCaMP_modularity_segment_9/20,GCaMP_modularity_segment_10/20,GCaMP_modularity_segment_11/20,GCaMP_modularity_segment_12/20,GCaMP_modularity_segment_13/20,GCaMP_modularity_segment_14/20,GCaMP_modularity_segment_15/20,GCaMP_modularity_segment_16/20,GCaMP_modularity_segment_17/20,GCaMP_modularity_segment_18/20,GCaMP_modularity_segment_19/20,dHbT_modularity_whole,dHbT_modularity_segment_0/20,dHbT_modularity_segment_1/20,dHbT_modularity_segment_2/20,dHbT_modularity_segment_3/20,dHbT_modularity_segment_4/20,dHbT_modularity_segment_5/20,dHbT_modularity_segment_6/20,dHbT_modularity_segment_7/20,dHbT_modularity_segment_8/20,dHbT_modularity_segment_9/20,dHbT_modularity_segment_10/20,dHbT_modularity_segment_11/20,dHbT_modularity_segment_12/20,dHbT_modularity_segment_13/20,dHbT_modularity_segment_14/20,dHbT_modularity_segment_15/20,dHbT_modularity_segment_16/20,dHbT_modularity_segment_17/20,dHbT_modularity_segment_18/20,dHbT_modularity_segment_19/20
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.03557954480145213,0.008003495080136425,0.02278594552924764,0.02554127909922561,0.049591053841806766,0.06391642813167148,0.09657250058463374,0.07085573518512234,0.14511799250370816,0.14427389243262678,0.13711522258647155,0.16784942980640066,0.18282511577838698,0.1878370668586625,0.1636224600323242,0.23394286895412417,0.25466837211855664,0.33592976567324356,0.4695649293455353,0.29250125644936964,0.35795274110728553,0.07163922516233504,0.054302239615061185,0.10376648489482708,0.076382671228547,0.061131754551979514,0.10241965536538733,0.06798220056070522,0.05975149643266858,0.06002744111451234,0.06880069116138547,0.029547561531827474,0.06878625847877004,0.045631608479842364,0.04983212809421255,0.07835878375787156,0.052800547709306395,0.042177639803317825,0.039795466904992804,0.06534918757698532,0.04923690380625818,0.056154781163065076
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.028807509267633646,0.012978950001725744,0.0181696247083528,0.024157998718622183,0.0382620227906617,0.04250977502486007,0.026621376980740852,0.053823303707610876,0.04499753861520896,0.045527978257458517,0.07679872566763815,0.06643028005241187,0.12217244712784062,0.11042771297148533,0.13170680014670752,0.16536588433525592,0.18154773518693065,0.24469746151988242,0.31057950272488394,0.37670371729638963,0.7330120159695076,0.06998307176431391,0.08245797395089742,0.057336844874100165,0.03360756335176456,0.04058378090407361,0.06524669861580658,0.04551615071865322,0.05315076284781582,0.060882643920759844,0.056402093399984046,0.051707353140093545,0.047900947928070065,0.06346533381692318,0.04552198635209846,0.07109186528083847,0.05440012278283642,0.059179634007227644,0.06023348228893162,0.04515417238594298,0.049940427647421466,0.051498902643045616
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.02528209826713218,0.01881457883611775,0.05967809479737336,0.06673868321427014,0.0280894820428884,0.02958874494227454,0.021396809482928106,0.045549920272290476,0.03125596622956405,0.048089372207361765,0.055004368997108984,0.0654452261333092,0.08486945496461376,0.08426106037417365,0.07407140075647399,0.12499680283713474,0.1577958044098578,0.14674866995721314,0.23469417916846327,0.25586353431405484,0.7390497872555457,0.041097629167207064,0.05357595383104632,0.09279218711570714,0.06088239907573356,0.04501158913595315,0.028948527361341417,0.03298402176337499,0.021364531209050252,0.03308841428919306,0.024881372005313394,0.03360946020578697,0.03145985411947083,0.024156308840586664,0.020447840944590224,0.037609466583594466,0.04180058817761423,0.033935623654369966,0.03083886226828098,0.02676787608419927,0.024427293267764636,0.02288490802351249
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.020794393962672218,0.0071283099677307525,0.0210408855538808,0.0554546911578107,0.0663705434940467,0.07565553658093277,0.09059366570551848,0.0521135333882413,0.04059761641229043,0.07661871561846281,0.04893289997911481,0.08669552993908039,0.09889080536428557,0.13938908609146017,0.1149212117301676,0.18290950370767056,0.1456061308049107,0.2564430939512395,0.27545540857813916,0.36930887022527215,0.3520552406642614,0.11367809452957789,0.08614069239802849,0.2731724072667997,0.11557803032736784,0.10783547843703929,0.056634455872287714,0.07742010387484653,0.08123796556111189,0.10880982796387674,0.13578348238556404,0.13341649646547493,0.1078942941414153,0.07993350698893215,0.13930186660863608,0.1368929672447771,0.1603036701133712,0.16740329271223398,0.13666048685361848,0.16394146477489766,0.23188619244055603,0.17053965469266802
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.023185493420733526,0.007820318184271187,0.01726674992007231,0.055925254545061545,0.07004867992834994,0.04314465620516156,0.054459294678046305,0.06894236413123732,0.07484522402348663,0.05441689751145522,0.10940347273772495,0.11303496703309623,0.11312191192360395,0.14741757455142918,0.10090851307909102,0.17608531167457353,0.15409686951987953,0.1830217746657706,0.24212705378752858,0.2060958016044022,0.38567770900943227,0.068753310071532,0.023215526434915285,0.09986149448725291,0.06843826148251442,0.08144008204115774,0.0718669719917672,0.07613760331201097,0.0940461752904681,0.09924948308578983,0.08652052419691936,0.08516692268673058,0.09695545420233823,0.05498265347270637,0.05860644352216384,0.10235950685311618,0.06126120005740562,0.08739098542752058,0.09112755867070887,0.07570287963877503,0.054406753499572656,0.05516559566471887
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.0657126294536901,0.030565245811920896,0.04470621589412903,0.10235189426962979,0.062219906736613005,0.09072760284683468,0.13317045043959003,0.1084401920900387,0.11078368818851521,0.09803015203889248,0.10241753282040851,0.11837881761811138,0.14398090965586208,0.12378774557950943,0.09900073813852134,0.1625172397709754,0.23629061372239635,0.20213169916899365,0.21040293553775827,0.3853657915806217,0.44878586760336103,0.10496168192643221,0.6756647462158526,0.2285371010871367,0.11896880890072169,0.07713186335890912,0.09013326704965688,0.08826462073464035,0.08788938816179187,0.07801645639083787,0.08307403281665801,0.07852985639310175,0.0567947173691321,0.0743005062870738,0.06634992854296064,0.06364367811025698,0.06674679953370563,0.06971606760017537,0.0462927875749163,0.052494186458784634,0.05390614321718958,0.07810063012114508
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.019344143713863993,0.016082985850002163,0.017395065060515327,0.017199073597654813,0.014116164104046425,0.011903484772796076,0.01348716092970478,0.021250460143101734,0.0278175985219718,0.019383490693404365,0.028861470193334994,0.03591747017972939,0.057217018689161916,0.07215277990944424,0.07284264993701257,0.16832671513618258,0.17766873971445327,0.21513119358339353,0.228339111361288,0.33613356879503853,0.2784976766525326,0.06554107533215557,0.06269862168250587,0.05773219460915981,0.04179736966979446,0.052620907287467246,0.0654004219897717,0.056217358465003184,0.046735874384867135,0.08107945093281874,0.06899631934033344,0.09664905285346431,0.08276411251479579,0.09957072552487282,0.08317823317641115,0.13154212749943478,0.09858933874818207,0.14346131087462383,0.07528996183766568,0.09295123777645403,0.10158218032634349,0.06294980824477982
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.04210101017076049,0.014336354845979102,0.018587668581368233,0.12445655554732706,0.10489461039526689,0.12587396272529217,0.14326738548543583,0.11574784173300387,0.11726108742242365,0.11580738580343893,0.09256664832950526,0.07681208614186526,0.09885380239620836,0.0964019330004378,0.10802896334440175,0.16210091760291048,0.13495824279209098,0.09517233821723681,0.19630239774634017,0.20896749697880196,0.24133186025827652,0.03361972347685836,0.03867449639105432,0.05331208669409532,0.06701457230416519,0.020521275960299297,0.02641847434480501,0.019442815243981722,0.02598144250796609,0.018612626194194654,0.027675452448649756,0.029156519918376093,0.02781538489202963,0.02827592087933104,0.036829141659368,0.031154023706867224,0.03805854278958364,0.04076063114622852,0.03023395338186065,0.03006635357867384,0.0370719355089357,0.02696618277557058
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.029382375922497952,0.006783311311071782,0.03915516565011036,0.128600601763832,0.10549706334615717,0.03192026402094828,0.02701706893901191,0.029654938379843145,0.04214208606620583,0.050136172300477254,0.038598551287560526,0.09082451371619833,0.05828717798442794,0.08225959880798335,0.07144675666766116,0.0972428211319452,0.11204546384917213,0.10186953378637406,0.16152289634111497,0.2082075804692852,0.30429737019055964,0.08030517362909405,0.032690442785951665,0.09084682092593137,0.1796855711146962,0.06908750041545768,0.15457991534161095,0.18466905298540542,0.15275711769019845,0.14552928189332623,0.13029030351299978,0.07923677204583818,0.13847794392841517,0.12806098833497565,0.09153871098916963,0.12969319645184885,0.10769821839196038,0.18236650595008033,0.12311871294505897,0.14217237568616795,0.10485751566930987,0.09987170806148819
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.05415268509210829,0.023265837718728182,0.0529711707941506,0.08133509332089804,0.08029572799142543,0.09955702179152444,0.10662229751632665,0.10675891490807589,0.12454139790209547,0.11077546325606781,0.10396422648632951,0.09725193774038327,0.12677855915890557,0.08954679001506786,0.10724601489679626,0.1349008871400732,0.17454051466883677,0.24179445011112613,0.21846884264354463,0.2002111042914148,0.27447355566459747,0.13065217634485543,0.10679188118598959,0.28323831451915543,0.3383854239970317,0.09658383610323282,0.06931896195303776,0.12230378840124075,0.0581245981240892,0.08292777774375586,0.09432565034517229,0.1163776482353562,0.0893942569495912,0.10444029735851017,0.15098517051033486,0.16016509454544328,0.14360423263405347,0.1528331594831217,0.11234650703754989,0.14909348145653237,0.0990950282810604,0.19537644852120978
