id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/20,GCaMP_funcrep_segment_1/20,GCaMP_funcrep_segment_2/20,GCaMP_funcrep_segment_3/20,GCaMP_funcrep_segment_4/20,GCaMP_funcrep_segment_5/20,GCaMP_funcrep_segment_6/20,GCaMP_funcrep_segment_7/20,GCaMP_funcrep_segment_8/20,GCaMP_funcrep_segment_9/20,GCaMP_funcrep_segment_10/20,GCaMP_funcrep_segment_11/20,GCaMP_funcrep_segment_12/20,GCaMP_funcrep_segment_13/20,GCaMP_funcrep_segment_14/20,GCaMP_funcrep_segment_15/20,GCaMP_funcrep_segment_16/20,GCaMP_funcrep_segment_17/20,GCaMP_funcrep_segment_18/20,GCaMP_funcrep_segment_19/20,dHbT_funcrep_segment_0/20,dHbT_funcrep_segment_1/20,dHbT_funcrep_segment_2/20,dHbT_funcrep_segment_3/20,dHbT_funcrep_segment_4/20,dHbT_funcrep_segment_5/20,dHbT_funcrep_segment_6/20,dHbT_funcrep_segment_7/20,dHbT_funcrep_segment_8/20,dHbT_funcrep_segment_9/20,dHbT_funcrep_segment_10/20,dHbT_funcrep_segment_11/20,dHbT_funcrep_segment_12/20,dHbT_funcrep_segment_13/20,dHbT_funcrep_segment_14/20,dHbT_funcrep_segment_15/20,dHbT_funcrep_segment_16/20,dHbT_funcrep_segment_17/20,dHbT_funcrep_segment_18/20,dHbT_funcrep_segment_19/20,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.954657892823324,0.8803007345785057,0.2722213395539718,0.6699528962853556,0.7014040414940051,0.8170701030809074,0.7423809997089093,0.8069952356178057,0.6078083957188818,0.6324432316535215,0.50572619790973,0.6584053550113085,0.6343011948166416,0.5842220340020576,0.5918967704893655,0.3479727658634292,0.4212622927808239,0.4237932411837964,0.3384216516307085,0.2305834223693358,0.8915996667841425,0.892611515718408,0.8535030991685746,0.8527856355206758,0.8426963659023265,0.8393196750048465,0.8516129488873603,0.9094379607198124,0.829119590523604,0.8360885714122144,0.8779922520487753,0.8834679769246664,0.9319117032107148,0.7575409060313454,0.8412261567223522,0.7668819908903117,0.7641574929647651,0.8329970115562947,0.8283296173555663,0.7669808346455617,0.9975438133558333,0.5559744427535344,0.9831856404428089,0.8812487907877197
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.936897010363134,0.9014964223309904,0.7650456785268717,0.6381768631524009,0.641248785931309,0.6650902748998154,0.6724436987027094,0.7819070260615655,0.8177956922390978,0.8034372528469907,0.7749423926015225,0.8168401694695898,0.8232445590205032,0.7446189233280248,0.7228528930001864,0.7290994679400383,0.6377781366525292,0.6742619960045575,0.6208313881263744,0.4060302692708741,0.6966149901934843,0.8815309570635436,0.8418431130383351,0.7362905758360443,0.795581496025051,0.8304842394019051,0.7269075076700688,0.8628133592702592,0.8886581076503565,0.8769237129171296,0.834636295576107,0.9386933097802764,0.9678411829147384,0.95344547969099,0.8924151767883075,0.9320006621696876,0.9038046490025108,0.908095507932916,0.8817606053557542,0.8386169962670064,0.9958641352902035,0.7904472174289048,0.977387946150566,0.9402263254775793
M387-6_v1,387,True,6,7,"(90, 7540)",M,0.972624314492979,0.9540690141879944,0.7881772038520967,0.7780514239345162,0.7189250281704261,0.7606326141211778,0.6729355305502381,0.7469934624147684,0.606756006401321,0.4428799454186042,0.6321986614824531,0.553950277257449,0.5931159188157281,0.5442993294815239,0.4823962514860578,0.4959577470408772,0.5530195839782863,0.4056511095966276,0.3114102176176516,0.195971118482538,0.7361895454069451,0.8805018018510073,0.5719714701749434,0.7251090325104083,0.8960366078579154,0.9588475102161734,0.7740627776893367,0.7973825535160394,0.8459443669551066,0.8232932453347976,0.9248520841325164,0.862781489265268,0.8245869364988637,0.9243867049265336,0.8008454279019391,0.9365530121688858,0.8618630080971419,0.5999505520576616,0.6043323118371203,0.2048475304352481,0.9978880293138602,0.5981958329446053,0.9785334621622735,0.8853222271976873
M387-10_v1,387,True,10,7,"(117, 7462)",M,0.9802796969460054,0.9649842846796098,0.8510971115417328,0.6097552783151824,0.7234363767742774,0.6129171624485826,0.7401738337346154,0.5427538813753443,0.4484058449187174,0.5935704827345901,0.5343243901632481,0.5526177368362281,0.72772476459689,0.5438570950241147,0.535968399409033,0.4564762312553944,0.438707916703919,0.195795631601997,0.1084149936635678,0.1281769180041184,0.4680411364474843,0.8931484717378592,0.8760182939451696,0.8674833190040573,0.8981233718285974,0.9432673692506424,0.9263120101377008,0.9391961193701516,0.935939924434994,0.8879755711619577,0.9212924232597086,0.9276956033271326,0.9307440589286204,0.92283392458665,0.8998780544095686,0.9055883895490202,0.8784851549494762,0.8467940387312061,0.8310877222864334,0.8207367852064276,0.9984990272450147,0.5736185486875626,0.9296250653066033,0.8983602878893696
M396-6_v1,396,True,6,7,"(89, 7528)",F,0.9636251801099596,0.9595725273545918,0.9173216509608478,0.7125580509125405,0.8346259831239066,0.8923982166941447,0.9123438564414332,0.7923790401611692,0.872471920712432,0.6964306430745453,0.7238312071787666,0.6991817023019803,0.5476814163518419,0.4024902948097361,0.610400567510054,0.4922661121587865,0.4415332626806141,0.2983476251692528,0.2535828921950664,0.1599505004803859,0.7816985482317634,0.8664932368808307,0.7188234270528856,0.9012731128703682,0.9216318272206588,0.9264076771775775,0.8142540709995186,0.9294541406855156,0.9123878942327732,0.946540949917737,0.9599168948792206,0.9642029121687822,0.8999896288703138,0.8926667447421202,0.9382788122606324,0.5646767288050047,0.8901567513425704,0.9408831787617256,0.9110312287117248,0.8458384256416682,0.9971322267856324,0.5893811062508414,0.984928711336297,0.9621280189701589
M397-6_v1,397,True,6,7,"(69, 7503)",F,0.955112564351016,0.8453468405966805,0.5389655622838945,0.5208982233815935,0.5930404557353385,0.5409388546835145,0.6773497509262479,0.6975803807461761,0.6371507071116734,0.5152047045601597,0.5591262358035037,0.6747528801047699,0.6807980106993153,0.2831241087792652,0.3566273933135246,0.3589259912366744,0.4183105099538373,0.3389775355543541,0.2549084311256167,0.195024178613144,0.8350584851818549,0.9200772827485566,0.9143521606192728,0.8798888174093716,0.8786948982999635,0.8194247982145793,0.888117950723172,0.8069762705588632,0.4959418828019773,0.7724040521063705,0.7327223930113606,0.7663082683448144,0.8861746127932865,0.4384942522126387,0.3625778244759688,0.7194756354205791,0.4431258603283974,0.6605978595133396,0.366827182291376,0.1439927748797454,0.9974999784693811,0.5422934930290733,0.9621111127690313,0.6204319794045685
M410-6_v1,410,True,6,9,"(99, 7428)",M,0.965051305954865,0.913887746958468,0.6298211839753128,0.4955825470745533,0.5428033429530682,0.5149568560312323,0.5356056331403781,0.4784491061248414,0.5868163831119716,0.5639772019608061,0.6454895579358455,0.6089468437733986,0.6771609094707945,0.4782495590812695,0.4965386738079855,0.3896821278652069,0.2834647754466212,0.4144963645396847,0.2789599223362699,0.256632917116984,0.7093359763453024,0.8024081658480269,0.8507010340675806,0.9247268546716986,0.8947281078597124,0.9029126333137508,0.9252847850537566,0.8663454239246445,0.8453602130791074,0.9267297772381236,0.8740971412186627,0.7841864286293033,0.8498837762569887,0.7813210675181356,0.6485708552237452,0.7901494247563546,0.8091428136484425,0.759482053859805,0.8207115658133719,0.6137376584275765,0.9975804052392375,0.5606691884665096,0.9237788218203815,0.8089179465645276
M410-8_v1,410,True,8,9,"(102, 7532)",M,0.8873029528153236,0.8500040724983874,0.7671058240326457,0.7764873661592617,0.6550224575487601,0.7651380539127028,0.6007025510005947,0.7151159757250644,0.7058435848629402,0.7261581560060333,0.7189543216679081,0.6095909571885363,0.5157685802254481,0.527468066978539,0.2434862933138826,0.3707197035219287,0.2802381436929593,0.2946786630703478,0.3139417274251335,0.2830569856227136,0.6483921331493468,0.8919404522324139,0.8136756227843208,0.9524155027479664,0.8179720254854199,0.9349004086465535,0.9221777051630332,0.9542310144909534,0.8604068469487796,0.8805107809659432,0.9016066035664544,0.8706247623818492,0.9281376962810056,0.85434897052894,0.8501682224439363,0.8365748463364785,0.7486944423803831,0.7456385318780168,0.6989156462718459,0.7060069158652599,0.994710089260246,0.49631477372342475,0.9418426339314838,0.8290531532300118
M410-10_v1,410,True,10,9,"(71, 7137)",M,0.8927899806939636,0.5860757428933598,0.1967151375928048,0.2953300188748838,0.3768532555432869,0.5515476870591358,0.5850315080556763,0.7012640145890368,0.6380762859273383,0.5498008121608027,0.5103511901528297,0.5878489396828803,0.4420013532392973,0.5131542457267457,0.4417636659394112,0.5012581919300328,0.3481549308155922,0.4349804082233109,0.3653855470721155,0.3522131443894596,0.7033794387863388,0.7615907057461192,0.5044460227353254,0.590471922312725,0.8307290097160333,0.8562661875372011,0.8278821057426146,0.81305904300697,0.8725579054964264,0.8443301521388836,0.8627637811617311,0.772218346786513,0.8221833394633168,0.8763531866281409,0.8133114021410676,0.89636443271035,0.841323662348294,0.8457852031902597,0.8574819479741481,0.7156270770332442,0.9947424928350821,0.5042178579887384,0.9314882981874169,0.8537753358653336
M412-8_v1,412,True,8,9,"(135, 7515)",F,0.8126936122553313,0.890345924678744,0.8537084368558318,0.5626024192717687,0.5562983547351635,0.4732268128144061,0.5287583244205784,0.6110626959828743,0.521886725332229,0.6394520841171015,0.3388074836304224,0.6223918018165496,0.4599738725122568,0.5212921241223054,0.5734801140216328,0.4809731752831819,0.4288685994433591,0.4116850772351724,0.3738883884920638,0.397336645049978,0.7861067179251348,0.9304077185185412,0.9482868429872724,0.9445491739919694,0.9594674143226938,0.9540518952517194,0.8354821242440895,0.4403048545059848,0.9401636158455652,0.9313274376599224,0.8788742213429471,0.9462270961372716,0.9278186596670048,0.9405091040971848,0.8342904611113175,0.9356224977790488,0.9169382696192232,0.5913840607059111,0.9024608350122314,0.4088943833385933,0.9904458860070162,0.5521449641027948,0.9881317513657667,0.9317826805262678
