id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/20,GCaMP_modularity_segment_1/20,GCaMP_modularity_segment_2/20,GCaMP_modularity_segment_3/20,GCaMP_modularity_segment_4/20,GCaMP_modularity_segment_5/20,GCaMP_modularity_segment_6/20,GCaMP_modularity_segment_7/20,GCaMP_modularity_segment_8/20,GCaMP_modularity_segment_9/20,GCaMP_modularity_segment_10/20,GCaMP_modularity_segment_11/20,GCaMP_modularity_segment_12/20,GCaMP_modularity_segment_13/20,GCaMP_modularity_segment_14/20,GCaMP_modularity_segment_15/20,GCaMP_modularity_segment_16/20,GCaMP_modularity_segment_17/20,GCaMP_modularity_segment_18/20,GCaMP_modularity_segment_19/20,dHbT_modularity_whole,dHbT_modularity_segment_0/20,dHbT_modularity_segment_1/20,dHbT_modularity_segment_2/20,dHbT_modularity_segment_3/20,dHbT_modularity_segment_4/20,dHbT_modularity_segment_5/20,dHbT_modularity_segment_6/20,dHbT_modularity_segment_7/20,dHbT_modularity_segment_8/20,dHbT_modularity_segment_9/20,dHbT_modularity_segment_10/20,dHbT_modularity_segment_11/20,dHbT_modularity_segment_12/20,dHbT_modularity_segment_13/20,dHbT_modularity_segment_14/20,dHbT_modularity_segment_15/20,dHbT_modularity_segment_16/20,dHbT_modularity_segment_17/20,dHbT_modularity_segment_18/20,dHbT_modularity_segment_19/20,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.03557954480145213,0.0080034950801364,0.0227859455292476,0.0255412790992256,0.0495910538418067,0.0639164281316714,0.0965725005846337,0.0708557351851223,0.1451179925037081,0.1442738924326267,0.1371152225864715,0.1678494298064006,0.1828251157783869,0.1878370668586625,0.1636224600323242,0.2339428689541241,0.2546683721185566,0.3359297656732435,0.4695649293455353,0.2925012564493696,0.3579527411072855,0.07163922516233504,0.0543022396150611,0.103766484894827,0.076382671228547,0.0611317545519795,0.1024196553653873,0.0679822005607052,0.0597514964326685,0.0600274411145123,0.0688006911613854,0.0295475615318274,0.06878625847877,0.0456316084798423,0.0498321280942125,0.0783587837578715,0.0528005477093063,0.0421776398033178,0.0397954669049928,0.0653491875769853,0.0492369038062581,0.056154781163065,0.025424087806969923,0.2033958059077052,0.08780136552854038,0.05599224476054473
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.028807509267633646,0.0129789500017257,0.0181696247083528,0.0241579987186221,0.0382620227906617,0.04250977502486,0.0266213769807408,0.0538233037076108,0.0449975386152089,0.0455279782574585,0.0767987256676381,0.0664302800524118,0.1221724471278406,0.1104277129714853,0.1317068001467075,0.1653658843352559,0.1815477351869306,0.2446974615198824,0.3105795027248839,0.3767037172963896,0.7330120159695076,0.06998307176431391,0.0824579739508974,0.0573368448741001,0.0336075633517645,0.0405837809040736,0.0652466986158065,0.0455161507186532,0.0531507628478158,0.0608826439207598,0.056402093399984,0.0517073531400935,0.04790094792807,0.0634653338169231,0.0455219863520984,0.0710918652808384,0.0544001227828364,0.0591796340072276,0.0602334822889316,0.0451541723859429,0.0499404276474214,0.0514989026430456,0.02476264614185188,0.12178598957150549,0.07521396327341953,0.05358231969625509
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.02528209826713218,0.0188145788361177,0.0596780947973733,0.0667386832142701,0.0280894820428884,0.0295887449422745,0.0213968094829281,0.0455499202722904,0.031255966229564,0.0480893722073617,0.0550043689971089,0.0654452261333092,0.0848694549646137,0.0842610603741736,0.0740714007564739,0.1249968028371347,0.1577958044098578,0.1467486699572131,0.2346941791684632,0.2558635343140548,0.7390497872555457,0.041097629167207064,0.0535759538310463,0.0927921871157071,0.0608823990757335,0.0450115891359531,0.0289485273613414,0.0329840217633749,0.0213645312090502,0.033088414289193,0.0248813720053133,0.0336094602057869,0.0314598541194708,0.0241563088405866,0.0204478409445902,0.0376094665835944,0.0418005881776142,0.0339356236543699,0.0308388622682809,0.0267678760841992,0.0244272932677646,0.0228849080235124,0.021997783531778507,0.10083072183653577,0.048884370581643286,0.027814191320352268
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.020794393962672218,0.0071283099677307,0.0210408855538808,0.0554546911578107,0.0663705434940467,0.0756555365809327,0.0905936657055184,0.0521135333882413,0.0405976164122904,0.0766187156184628,0.0489328999791148,0.0866955299390803,0.0988908053642855,0.1393890860914601,0.1149212117301676,0.1829095037076705,0.1456061308049107,0.2564430939512395,0.2754554085781391,0.3693088702252721,0.3520552406642614,0.11367809452957789,0.0861406923980284,0.2731724072667997,0.1155780303273678,0.1078354784370392,0.0566344558722877,0.0774201038748465,0.0812379655611118,0.1088098279638767,0.135783482385564,0.1334164964654749,0.1078942941414153,0.0799335069889321,0.139301866608636,0.1368929672447771,0.1603036701133712,0.1674032927122339,0.1366604868536184,0.1639414647748976,0.231886192440556,0.170539654692668,0.01747539860744278,0.13537698150764033,0.11435968451958188,0.13921253049545684
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.023185493420733526,0.0078203181842711,0.0172667499200723,0.0559252545450615,0.0700486799283499,0.0431446562051615,0.0544592946780463,0.0689423641312373,0.0748452240234866,0.0544168975114552,0.1094034727377249,0.1130349670330962,0.1131219119236039,0.1474175745514291,0.100908513079091,0.1760853116745735,0.1540968695198795,0.1830217746657706,0.2421270537875285,0.2060958016044022,0.3856777090094322,0.068753310071532,0.0232155264349152,0.0998614944872529,0.0684382614825144,0.0814400820411577,0.0718669719917672,0.0761376033120109,0.0940461752904681,0.0992494830857898,0.0865205241969193,0.0851669226867305,0.0969554542023382,0.0549826534727063,0.0586064435221638,0.1023595068531161,0.0612612000574056,0.0873909854275205,0.0911275586707088,0.075702879638775,0.0544067534995726,0.0551655956647188,0.018634829589578798,0.13299135616248986,0.06660299095194404,0.07252708984652996
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.0657126294536901,0.0305652458119208,0.044706215894129,0.1023518942696297,0.062219906736613,0.0907276028468346,0.13317045043959,0.1084401920900387,0.1107836881885152,0.0980301520388924,0.1024175328204085,0.1183788176181113,0.143980909655862,0.1237877455795094,0.0990007381385213,0.1625172397709754,0.2362906137223963,0.2021316991689936,0.2104029355377582,0.3853657915806217,0.448785867603361,0.10496168192643221,0.6756647462158526,0.2285371010871367,0.1189688089007216,0.0771318633589091,0.0901332670496568,0.0882646207346403,0.0878893881617918,0.0780164563908378,0.083074032816658,0.0785298563931017,0.0567947173691321,0.0743005062870738,0.0663499285429606,0.0636436781102569,0.0667467995337056,0.0697160676001753,0.0462927875749163,0.0524941864587846,0.0539061432171895,0.078100630121145,0.0574368032222194,0.14283751267361514,0.14989488977852344,0.05928463786929397
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.019344143713863993,0.0160829858500021,0.0173950650605153,0.0171990735976548,0.0141161641040464,0.011903484772796,0.0134871609297047,0.0212504601431017,0.0278175985219718,0.0193834906934043,0.0288614701933349,0.0359174701797293,0.0572170186891619,0.0721527799094442,0.0728426499370125,0.1683267151361825,0.1776687397144532,0.2151311935833935,0.228339111361288,0.3361335687950385,0.2784976766525326,0.06554107533215557,0.0626986216825058,0.0577321946091598,0.0417973696697944,0.0526209072874672,0.0654004219897717,0.0562173584650031,0.0467358743848671,0.0810794509328187,0.0689963193403334,0.0966490528534643,0.0827641125147957,0.0995707255248728,0.0831782331764111,0.1315421274994347,0.098589338748182,0.1434613108746238,0.0752899618376656,0.092951237776454,0.1015821803263434,0.0629498082447798,0.014604390576098534,0.08503440903849818,0.055762209441385636,0.09413259057326066
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.04210101017076049,0.0143363548459791,0.0185876685813682,0.124456555547327,0.1048946103952668,0.1258739627252921,0.1432673854854358,0.1157478417330038,0.1172610874224236,0.1158073858034389,0.0925666483295052,0.0768120861418652,0.0988538023962083,0.0964019330004378,0.1080289633444017,0.1621009176029104,0.1349582427920909,0.0951723382172368,0.1963023977463401,0.2089674969788019,0.2413318602582765,0.03361972347685836,0.0386744963910543,0.0533120866940953,0.0670145723041651,0.0205212759602992,0.026418474344805,0.0194428152439817,0.025981442507966,0.0186126261941946,0.0276754524486497,0.029156519918376,0.0278153848920296,0.028275920879331,0.036829141659368,0.0311540237068672,0.0380585427895836,0.0407606311462285,0.0302339533818606,0.0300663535786738,0.0370719355089357,0.0269661827755705,0.03465232298319715,0.10603924889550997,0.036391634883246905,0.031017879822420154
M374-8_v1,374,True,8,6,"(68, 7125)",M,0.029382375922497952,0.0067833113110717,0.0391551656501103,0.128600601763832,0.1054970633461571,0.0319202640209482,0.0270170689390119,0.0296549383798431,0.0421420860662058,0.0501361723004772,0.0385985512875605,0.0908245137161983,0.0582871779844279,0.0822595988079833,0.0714467566676611,0.0972428211319452,0.1120454638491721,0.101869533786374,0.1615228963411149,0.2082075804692852,0.3042973701905596,0.08030517362909405,0.0326904427859516,0.0908468209259313,0.1796855711146962,0.0690875004154576,0.1545799153416109,0.1846690529854054,0.1527571176901984,0.1455292818933262,0.1302903035129997,0.0792367720458381,0.1384779439284151,0.1280609883349756,0.0915387109891696,0.1296931964518488,0.1076982183919603,0.1823665059500803,0.1231187129450589,0.1421723756861679,0.1048575156693098,0.0998717080614881,0.026074982723003935,0.09014895217907931,0.07362586459531509,0.11613146044917308
M374-10_v1,374,True,10,6,"(68, 7649)",M,0.05415268509210829,0.0232658377187281,0.0529711707941506,0.081335093320898,0.0802957279914254,0.0995570217915244,0.1066222975163266,0.1067589149080758,0.1245413979020954,0.1107754632560678,0.1039642264863295,0.0972519377403832,0.1267785591589055,0.0895467900150678,0.1072460148967962,0.1349008871400732,0.1745405146688367,0.2417944501111261,0.2184688426435446,0.2002111042914148,0.2744735556645974,0.13065217634485543,0.1067918811859895,0.2832383145191554,0.3383854239970317,0.0965838361032328,0.0693189619530377,0.1223037884012407,0.0581245981240892,0.0829277777437558,0.0943256503451722,0.1163776482353562,0.0893942569495912,0.1044402973585101,0.1509851705103348,0.1601650945454432,0.1436042326340534,0.1528331594831217,0.1123465070375498,0.1490934814565323,0.0990950282810604,0.1953764485212097,0.0477042085082296,0.133351341824086,0.13194759126402741,0.13192363498905943
